cycle,event,id,field,byte,selected_id,candidate_id,candidate_ready,cadence_slot,pts_active,pts_due,stc,display_pts,display_pts_valid,tff,rff,present,generation,decoder_wait,presentation_wait,destination_wait,writer_wait,state,decoder_ready,cache_ready,prefill_miss,phase_error,overlap_error
63056760,PUBLISH,25,62,35357,25,26,1,0,0,0,142588,138092,1,1,0,1,25,22328093,40693310,0,712747,1677727051,1,1,0,0,0
63971960,FIELD,25,62,35357,25,26,1,0,0,0,143960,138092,1,1,0,1,25,22328093,41608510,0,712747,1677727051,1,1,0,0,0
64974867,FIELD,25,63,35357,25,26,1,1,0,0,145465,138092,1,1,0,1,25,22328093,42611417,0,712747,1677727051,1,1,0,0,0
64974868,START,28,64,35358,26,24,1,0,0,0,145465,138092,0,1,1,1,25,22328093,42611418,0,712747,1677727075,1,1,0,0,0
64974868,SELECT,26,64,35358,26,24,1,0,0,0,145465,138092,0,1,1,1,25,22328093,42611418,0,712747,1677727075,1,1,0,0,0
65058760,PUBLISH,26,64,35440,26,24,1,0,0,0,145591,138092,0,1,1,1,26,22411902,42611418,0,712811,1628743011,0,1,0,0,0
65657358,READY,28,64,35820,26,24,1,0,0,0,146489,138092,0,1,1,1,26,23010120,42611418,0,741525,1628743011,0,1,0,0,0
65973960,FIELD,26,64,35821,26,24,1,0,0,0,146963,138092,0,1,1,1,26,23010121,42928018,0,741525,1628841315,1,1,0,0,0
66976867,FIELD,26,65,35821,26,24,1,0,0,0,148468,138092,0,1,1,1,26,23010121,43930925,0,741525,1628841315,1,1,0,0,0
67975960,FIELD,26,66,35821,26,24,1,0,0,0,149966,138092,0,1,1,1,26,23010121,44930018,0,741525,1628841315,1,1,0,0,0
68978867,FIELD,26,67,35821,26,24,1,1,0,0,151471,138092,0,1,1,1,26,23010121,45932925,0,741525,1628841315,1,1,0,0,0
68978868,SELECT,24,68,35821,24,27,0,0,0,0,151471,93047,0,1,1,1,26,23010121,45932926,0,741525,1662395683,1,1,0,0,0
68978869,START,29,68,35822,24,28,1,0,0,0,151471,93047,0,1,1,1,27,23010121,45932927,0,741525,1610613361,1,0,0,0,0
69062760,PUBLISH,24,68,35904,24,28,1,0,0,0,151597,93047,0,1,1,1,27,23093929,45932927,0,741589,1610613877,0,1,0,0,0
